booking_id,booking_date,cancel_date,checkin_date,checkout_date,is_canceled
1,18/3/2014,,25/2/2016,24/3/2016,0
2,18/4/2014,,2/10/2015,11/10/2015,0
3,30/4/2014,,3/8/2015,10/8/2015,0
4,30/4/2014,,3/8/2015,10/8/2015,0
5,30/4/2014,,3/8/2015,10/8/2015,0
6,9/6/2014,,8/7/2015,15/7/2015,0
7,30/6/2014,19/5/2015,3/7/2015,13/7/2015,1
8,4/7/2014,,3/7/2015,13/7/2015,0
9,8/7/2014,,9/7/2015,16/7/2015,0
10,13/8/2014,,3/7/2015,17/7/2015,0
11,16/8/2014,,1/9/2015,15/9/2015,0
12,22/8/2014,,8/9/2015,22/9/2015,0
13,26/8/2014,5/3/2015,13/7/2015,18/7/2015,1
14,31/8/2014,,14/7/2015,20/7/2015,0
15,5/9/2014,,17/7/2015,20/7/2015,0
16,7/9/2014,,2/8/2015,16/8/2015,0
17,9/9/2014,23/4/2015,2/8/2015,16/8/2015,1
18,9/9/2014,,3/8/2015,7/8/2015,0
19,10/9/2014,,11/7/2015,17/7/2015,0
20,13/9/2014,,31/8/2015,11/9/2015,0
21,14/9/2014,,5/9/2015,19/9/2015,0
22,15/9/2014,21/7/2015,24/7/2015,7/8/2015,1
23,16/9/2014,,24/7/2015,7/8/2015,0
24,18/9/2014,25/3/2015,7/7/2015,14/7/2015,1
25,18/9/2014,14/8/2015,30/8/2015,11/9/2015,1
26,22/9/2014,,12/9/2015,20/9/2015,0
27,26/9/2014,,15/9/2015,29/9/2015,0
28,27/9/2014,,20/7/2015,30/7/2015,0
29,27/9/2014,,20/7/2015,30/7/2015,0
30,29/9/2014,25/3/2015,25/7/2015,1/8/2015,1
31,29/9/2014,1/1/2015,8/9/2015,22/9/2015,1
32,30/9/2014,,5/9/2015,15/9/2015,0
33,1/10/2014,15/4/2015,8/7/2015,15/7/2015,1
34,1/10/2014,,7/8/2015,10/8/2015,0
35,1/10/2014,,15/8/2015,22/8/2015,0
36,2/10/2014,17/3/2015,27/7/2015,2/8/2015,1
37,3/10/2014,,1/9/2015,7/9/2015,0
38,6/10/2014,18/1/2015,7/9/2015,10/9/2015,1
39,7/10/2014,2/1/2015,5/9/2015,12/9/2015,1
40,7/10/2014,,10/9/2015,20/9/2015,0
41,7/10/2014,2/1/2015,12/9/2015,19/9/2015,1
42,7/10/2014,2/1/2015,19/9/2015,26/9/2015,1
43,7/10/2014,2/1/2015,21/9/2015,25/9/2015,1
44,7/10/2014,2/1/2015,24/9/2015,28/9/2015,1
45,7/10/2014,2/1/2015,26/9/2015,3/10/2015,1
46,7/10/2014,2/1/2015,3/10/2015,10/10/2015,1
47,7/10/2014,20/5/2015,10/10/2015,17/10/2015,1
