booking_id,booking_date,cancel_date,checkin_date,checkout_date,is_canceled
1,3/18/2014,,2/25/2016,3/24/2016,0
2,4/18/2014,,10/2/2015,10/11/2015,0
3,4/30/2014,,8/3/2015,8/10/2015,0
4,4/30/2014,,8/3/2015,8/10/2015,0
5,4/30/2014,,8/3/2015,8/10/2015,0
6,6/9/2014,,7/8/2015,7/15/2015,0
7,6/30/2014,5/19/2015,7/3/2015,7/13/2015,1
8,7/4/2014,,7/3/2015,7/13/2015,0
9,7/8/2014,,7/9/2015,7/16/2015,0
10,8/13/2014,,7/3/2015,7/17/2015,0
11,8/16/2014,,9/1/2015,9/15/2015,0
12,8/22/2014,,9/8/2015,9/22/2015,0
13,8/26/2014,3/5/2015,7/13/2015,7/18/2015,1
14,8/31/2014,,7/14/2015,7/20/2015,0
15,9/5/2014,,7/17/2015,7/20/2015,0
16,9/7/2014,,8/2/2015,8/16/2015,0
17,9/9/2014,4/23/2015,8/2/2015,8/16/2015,1
18,9/9/2014,,8/3/2015,8/7/2015,0
19,9/10/2014,,7/11/2015,7/17/2015,0
20,9/13/2014,,8/31/2015,9/11/2015,0
21,9/14/2014,,9/5/2015,9/19/2015,0
22,9/15/2014,7/21/2015,7/24/2015,8/7/2015,1
23,9/16/2014,,7/24/2015,8/7/2015,0
24,9/18/2014,3/25/2015,7/7/2015,7/14/2015,1
25,9/18/2014,8/14/2015,8/30/2015,9/11/2015,1
26,9/22/2014,,9/12/2015,9/20/2015,0
27,9/26/2014,,9/15/2015,9/29/2015,0
28,9/27/2014,,7/20/2015,7/30/2015,0
29,9/27/2014,,7/20/2015,7/30/2015,0
30,9/29/2014,3/25/2015,7/25/2015,8/1/2015,1
31,9/29/2014,1/1/2015,9/8/2015,9/22/2015,1
32,9/30/2014,,9/5/2015,9/15/2015,0
33,10/1/2014,4/15/2015,7/8/2015,7/15/2015,1
34,10/1/2014,,8/7/2015,8/10/2015,0
35,10/1/2014,,8/15/2015,8/22/2015,0
36,10/2/2014,3/17/2015,7/27/2015,8/2/2015,1
37,10/3/2014,,9/1/2015,9/7/2015,0
38,10/6/2014,1/18/2015,9/7/2015,9/10/2015,1
39,10/7/2014,1/2/2015,9/5/2015,9/12/2015,1
40,10/7/2014,,9/10/2015,9/20/2015,0
41,10/7/2014,1/2/2015,9/12/2015,9/19/2015,1
42,10/7/2014,1/2/2015,9/19/2015,9/26/2015,1
43,10/7/2014,1/2/2015,9/21/2015,9/25/2015,1
44,10/7/2014,1/2/2015,9/24/2015,9/28/2015,1
45,10/7/2014,1/2/2015,9/26/2015,10/3/2015,1
46,10/7/2014,1/2/2015,10/3/2015,10/10/2015,1
47,10/7/2014,5/20/2015,10/10/2015,10/17/2015,1
48,10/8/2014,,9/7/2015,9/14/2015,0
49,10/9/2014,,9/7/2015,9/14/2015,0
50,10/11/2014,,9/3/2015,9/17/2015,0
51,10/13/2014,,9/6/2015,9/16/2015,0
52,10/17/2014,5/1/2015,9/5/2015,9/15/2015,1
53,10/17/2014,5/1/2015,9/5/2015,9/15/2015,1
54,10/18/2014,,7/31/2015,8/4/2015,0
55,10/21/2014,,7/6/2015,7/13/2015,0
56,10/26/2014,1/2/2015,9/5/2015,9/12/2015,1
57,10/31/2014,1/2/2015,10/4/2015,10/6/2015,1
58,11/2/2014,,7/9/2015,7/16/2015,0
59,11/3/2014,1/2/2015,9/3/2015,9/6/2015,1
60,11/5/2014,7/21/2015,9/11/2015,9/18/2015,1
61,11/9/2014,,9/6/2015,9/18/2015,0
62,11/10/2014,,9/3/2015,9/7/2015,0
63,11/10/2014,11/18/2014,9/3/2015,9/7/2015,1
64,11/10/2014,1/22/2015,9/8/2015,9/11/2015,1
65,11/10/2014,1/22/2015,9/8/2015,9/11/2015,1
66,11/10/2014,1/22/2015,9/8/2015,9/11/2015,1
67,11/10/2014,,9/3/2015,9/7/2015,0
68,11/10/2014,,9/3/2015,9/7/2015,0
69,11/12/2014,,9/13/2015,9/24/2015,0
70,11/12/2014,9/3/2015,10/6/2015,10/13/2015,1
71,11/12/2014,1/2/2015,10/6/2015,10/13/2015,1
72,11/12/2014,1/2/2015,10/6/2015,10/13/2015,1
73,11/12/2014,1/2/2015,10/8/2015,10/15/2015,1
74,11/12/2014,1/2/2015,10/12/2015,10/19/2015,1
75,11/12/2014,1/2/2015,10/12/2015,10/19/2015,1
76,11/12/2014,1/2/2015,10/12/2015,10/19/2015,1
77,11/12/2014,,7/24/2015,7/31/2015,0
78,11/12/2014,,8/8/2015,8/15/2015,0
79,11/12/2014,,9/13/2015,9/24/2015,0
80,11/15/2014,,9/12/2015,9/22/2015,0
81,11/18/2014,,9/19/2015,9/28/2015,0
82,11/18/2014,1/1/2015,12/22/2015,12/23/2015,1
83,11/18/2014,2/5/2015,7/12/2015,7/18/2015,1
84,11/18/2014,2/5/2015,8/12/2015,8/14/2015,1
85,11/18/2014,3/17/2015,7/7/2015,7/15/2015,1
86,11/18/2014,4/16/2015,8/1/2015,8/11/2015,1
87,11/18/2014,4/16/2015,8/1/2015,8/11/2015,1
88,11/18/2014,5/1/2015,9/13/2015,9/22/2015,1
89,11/18/2014,5/18/2015,7/26/2015,7/29/2015,1
90,11/18/2014,6/15/2015,7/11/2015,7/15/2015,1
91,11/18/2014,6/15/2015,7/11/2015,7/15/2015,1
92,11/18/2014,6/17/2015,7/11/2015,7/16/2015,1
93,11/18/2014,6/17/2015,7/11/2015,7/16/2015,1
94,11/18/2014,,7/2/2015,7/9/2015,0
95,11/18/2014,,7/6/2015,7/10/2015,0
96,11/18/2014,,7/13/2015,7/17/2015,0
97,11/18/2014,,7/13/2015,7/17/2015,0
98,11/18/2014,,7/13/2015,7/17/2015,0
99,11/18/2014,,7/17/2015,7/22/2015,0
100,11/18/2014,7/27/2015,8/1/2015,8/10/2015,1
101,11/18/2014,,7/31/2015,8/3/2015,0
102,11/18/2014,,8/3/2015,8/8/2015,0
103,11/18/2014,,8/17/2015,8/24/2015,0
104,11/18/2014,,8/17/2015,8/26/2015,0
105,11/18/2014,8/28/2015,9/3/2015,9/6/2015,1
106,11/18/2014,8/28/2015,9/2/2015,9/6/2015,1
107,11/18/2014,8/28/2015,9/2/2015,9/6/2015,1
108,11/18/2014,8/28/2015,9/2/2015,9/6/2015,1
109,11/18/2014,8/28/2015,9/2/2015,9/6/2015,1
110,11/18/2014,,9/3/2015,9/6/2015,0
111,11/18/2014,,9/2/2015,9/7/2015,0
112,11/18/2014,,9/2/2015,9/7/2015,0
113,11/18/2014,,9/2/2015,9/7/2015,0
114,11/18/2014,,9/2/2015,9/7/2015,0
115,11/18/2014,,9/2/2015,9/7/2015,0
116,11/18/2014,,9/4/2015,9/7/2015,0
117,11/18/2014,,9/3/2015,9/7/2015,0
118,11/18/2014,,9/2/2015,9/7/2015,0
119,11/18/2014,,9/2/2015,9/7/2015,0
120,11/18/2014,,8/31/2015,9/10/2015,0
121,11/18/2014,,9/1/2015,9/12/2015,0
122,11/18/2014,,9/9/2015,9/20/2015,0
123,11/18/2014,,9/7/2015,9/21/2015,0
124,11/18/2014,,9/23/2015,9/30/2015,0
125,11/18/2014,,9/29/2015,10/8/2015,0
126,1/1/2015,,9/3/2015,9/19/2015,0
127,1/1/2015,,9/24/2015,9/30/2015,0
128,1/1/2015,,9/24/2015,9/30/2015,0
129,1/1/2015,,9/24/2015,9/30/2015,0
130,1/1/2015,,9/24/2015,9/30/2015,0
131,1/1/2015,,9/24/2015,9/30/2015,0
132,1/1/2015,1/1/2015,7/22/2015,7/29/2015,1
133,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
134,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
135,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
136,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
137,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
138,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
139,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
140,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
141,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
142,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
143,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
144,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
145,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
146,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
147,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
148,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
149,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
150,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
151,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
152,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
153,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
154,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
155,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
156,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
157,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
